Accident_Index,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Year
201201BS70318,1,3,2,1,2012
201201BS70319,1,3,2,1,2012
201201BS70320,1,3,2,1,2012
201201BS70321,1,3,1,1,2012
201201BS70322,1,3,1,1,2012
201201BS70323,1,3,1,1,2012
201201BS70324,1,3,2,1,2012
201201BS70326,1,3,2,1,2012
201201BS70327,1,3,2,1,2012
201201BS70328,1,3,2,1,2012
201201BS70329,1,3,2,1,2012
201201BS70331,1,3,2,1,2012
201201BS70332,1,3,2,1,2012
201201BS70333,1,3,2,1,2012
201201BS70334,1,3,2,1,2012
201201BS70335,1,3,2,1,2012
201201BS70336,1,3,2,1,2012
201201BS70337,1,3,1,1,2012
201201BS70339,1,3,2,1,2012
201201BS70340,1,3,1,1,2012
201201BS70341,1,3,2,1,2012
201201BS70342,1,3,2,1,2012
201201BS70343,1,3,2,1,2012
201201BS70344,1,3,1,1,2012
201201BS70345,1,3,2,1,2012
201201BS70346,1,3,1,1,2012
201201BS70348,1,3,2,1,2012
201201BS70349,1,3,2,1,2012
201201BS70350,1,3,2,1,2012
201201BS70352,1,3,1,1,2012
201201BS70353,1,3,2,1,2012
201201BS70354,1,3,2,1,2012
201201BS70355,1,3,3,1,2012
201201BS70356,1,3,2,1,2012
201201BS70357,1,3,2,1,2012
201201BS70359,1,3,2,1,2012
201201BS70361,1,3,2,1,2012
201201BS70362,1,3,2,1,2012
201201BS70363,1,3,2,1,2012
201201BS70364,1,3,2,1,2012
201201BS70365,1,3,1,1,2012
201201BS70366,1,3,2,1,2012
201201BS70369,1,3,2,2,2012
201201BS70370,1,3,2,1,2012
201201BS70371,1,3,2,1,2012
201201BS70372,1,3,2,1,2012
201201BS70373,1,3,2,1,2012
201201BS70374,1,3,2,1,2012
201201BS70375,1,3,2,1,2012
201201BS70376,1,3,1,2,2012
201201BS70378,1,3,2,1,2012
201201BS70379,1,3,2,1,2012
201201BS70380,1,3,2,1,2012
201201BS70381,1,3,2,2,2012
201201BS70382,1,3,2,1,2012
201201BS70383,1,3,2,1,2012
201201BS70384,1,2,2,1,2012
201201BS70385,1,3,2,1,2012
201201BS70386,1,3,2,1,2012
201201BS70387,1,2,1,1,2012
201201BS70388,1,2,2,1,2012
201201BS70389,1,3,2,1,2012
201201BS70390,1,3,1,1,2012
201201BS70391,1,3,2,1,2012
201201BS70392,1,3,2,1,2012
201201BS70393,1,3,2,1,2012
201201BS70394,1,3,3,1,2012
201201BS70395,1,3,2,1,2012
201201BS70396,1,3,2,1,2012
201201BS70397,1,3,2,1,2012
201201BS70398,1,3,3,2,2012
201201BS70399,1,3,2,1,2012
201201BS70400,1,3,2,1,2012
201201BS70401,1,3,1,1,2012
201201BS70402,1,3,1,1,2012
201201BS70403,1,2,2,1,2012
201201BS70404,1,3,1,1,2012
201201BS70405,1,3,2,1,2012
201201BS70406,1,3,1,1,2012
201201BS70407,1,3,2,1,2012
201201BS70408,1,3,1,1,2012
201201BS70409,1,3,2,1,2012
201201BS70410,1,3,2,1,2012
201201BS70411,1,3,2,1,2012
201201BS70412,1,3,2,4,2012
201201BS70413,1,3,1,1,2012
201201BS70414,1,3,2,1,2012
201201BS70416,1,3,2,1,2012
201201BS70417,1,3,2,1,2012
201201BS70418,1,3,2,1,2012
201201BS70419,1,3,2,1,2012
201201BS70420,1,3,2,1,2012
201201BS70421,1,3,2,1,2012
201201BS70422,1,3,2,4,2012
201201BS70423,1,3,1,2,2012
201201BS70424,1,2,1,1,2012
201201BS70426,1,3,2,1,2012
201201BS70427,1,3,2,1,2012
201201BS70428,1,3,2,1,2012
201201BS70429,1,2,1,1,2012
201201BS70430,1,3,2,1,2012
201201BS70431,1,3,1,1,2012
201201BS70432,1,3,1,1,2012
201201BS70433,1,3,1,1,2012
201201BS70434,1,3,2,2,2012
201201BS70435,1,3,1,1,2012
201201BS70436,1,3,2,2,2012
201201BS70437,1,3,2,1,2012
201201BS70438,1,3,2,1,2012
201201BS70439,1,3,1,1,2012
201201BS70440,1,3,2,1,2012
201201BS70441,1,3,2,1,2012
201201BS70443,1,3,1,1,2012
201201BS70444,1,3,2,1,2012
201201BS70445,1,2,2,1,2012
201201BS70446,1,3,2,1,2012
201201BS70447,1,2,1,1,2012
201201BS70448,1,2,2,1,2012
201201BS70449,1,3,2,1,2012
201201BS70450,1,3,2,1,2012
201201BS70451,1,3,2,2,2012
201201BS70452,1,3,2,1,2012
201201BS70453,1,3,2,1,2012
201201BS70454,1,3,2,1,2012
201201BS70455,1,3,1,1,2012
201201BS70456,1,3,2,1,2012
201201BS70457,1,3,1,1,2012
201201BS70458,1,3,1,1,2012
201201BS70459,1,3,2,1,2012
201201BS70460,1,3,2,1,2012
201201BS70461,1,3,2,1,2012
201201BS70462,1,3,1,1,2012
201201BS70463,1,3,1,1,2012
201201BS70464,1,3,2,1,2012
201201BS70465,1,3,2,1,2012
201201BS70466,1,3,2,1,2012
201201BS70467,1,3,2,1,2012
201201BS70468,1,3,2,1,2012
201201BS70469,1,2,2,1,2012
201201BS70470,1,3,5,1,2012
201201BS70471,1,3,2,1,2012
201201BS70472,1,3,2,1,2012
201201BS70473,1,3,2,1,2012
201201BS70475,1,3,1,1,2012
201201BS70476,1,2,2,1,2012
201201BS70478,1,3,2,1,2012
201201BS70480,1,3,2,1,2012
201201BS70481,1,3,2,1,2012
201201BS70482,1,3,2,1,2012
201201BS70483,1,3,2,1,2012
201201BS70485,1,3,1,1,2012
201201BS70487,1,3,2,1,2012
201201BS70488,1,3,1,1,2012
201201BS70489,1,2,2,1,2012
201201BS70490,1,3,1,1,2012
201201BS70491,1,3,1,1,2012
201201BS70492,1,3,2,1,2012
201201BS70493,1,3,2,1,2012
201201BS70494,1,2,1,1,2012
201201BS70495,1,3,2,1,2012
201201BS70496,1,3,2,1,2012
201201BS70497,1,3,2,1,2012
201201BS70498,1,3,2,1,2012
201201BS70499,1,3,2,1,2012
201201BS70500,1,3,2,1,2012
201201BS70501,1,3,2,1,2012
201201BS70502,1,3,1,1,2012
201201BS70504,1,3,2,1,2012
201201BS70505,1,3,2,1,2012
201201BS70506,1,3,2,1,2012
201201BS70507,1,3,2,1,2012
201201BS70508,1,3,1,1,2012
201201BS70509,1,3,1,1,2012
201201BS70510,1,3,2,1,2012
201201BS70511,1,3,2,1,2012
201201BS70512,1,3,1,1,2012
201201BS70513,1,3,4,1,2012
201201BS70514,1,3,2,1,2012
201201BS70515,1,3,2,1,2012
201201BS70516,1,3,1,1,2012
201201BS70517,1,3,2,1,2012
201201BS70518,1,3,2,1,2012
201201BS70519,1,3,2,1,2012
201201BS70520,1,3,2,1,2012
201201BS70521,1,3,2,1,2012
201201BS70523,1,3,2,1,2012
201201BS70524,1,3,2,2,2012
201201BS70525,1,2,1,1,2012
201201BS70526,1,3,2,1,2012
201201BS70527,1,3,2,1,2012
201201BS70528,1,3,2,1,2012
201201BS70529,1,3,2,1,2012
201201BS70531,1,2,1,1,2012
201201BS70532,1,3,2,1,2012
201201BS70533,1,3,1,1,2012
201201BS70534,1,3,1,1,2012
201201BS70535,1,3,2,1,2012
201201BS70536,1,3,3,1,2012
201201BS70537,1,2,2,1,2012
201201BS70538,1,3,3,2,2012
201201BS70541,1,3,2,1,2012
201201BS70542,1,3,1,1,2012
201201BS70543,1,3,2,1,2012
201201BS70544,1,3,2,2,2012
201201BS70545,1,3,2,1,2012
201201BS70546,1,3,2,1,2012
201201BS70547,1,3,3,2,2012
201201BS70548,1,3,2,1,2012
201201BS70550,1,3,2,1,2012
201201BS70551,1,3,2,1,2012
201201BS70552,1,3,1,1,2012
201201BS70553,1,3,2,1,2012
201201BS70554,1,3,1,1,2012
201201BS70555,1,3,2,2,2012
201201BS70556,1,3,2,1,2012
201201BS70557,1,3,2,1,2012
201201BS70558,1,3,2,1,2012
201201BS70559,1,2,2,1,2012
201201BS70561,1,3,2,1,2012
201201BS70562,1,3,1,1,2012
201201BS70563,1,3,2,1,2012
201201BS70564,1,3,1,1,2012
201201BS70565,1,3,2,1,2012
201201BS70566,1,3,2,3,2012
201201BS70567,1,3,2,1,2012
201201BS70568,1,3,2,1,2012
201201BS70570,1,3,1,1,2012
201201BS70571,1,3,1,1,2012
201201BS70572,1,3,2,1,2012
201201BS70573,1,3,3,6,2012
201201BS70574,1,3,2,1,2012
201201BS70575,1,3,2,1,2012
201201BS70576,1,3,1,1,2012
201201BS70578,1,3,2,1,2012
201201BS70579,1,3,2,1,2012
201201BS70580,1,3,1,1,2012
201201BS70581,1,3,2,1,2012
201201BS70582,1,3,2,2,2012
201201BS70584,1,3,3,3,2012
201201BS70586,1,3,2,1,2012
201201BS70587,1,3,1,1,2012
201201BS70588,1,3,1,1,2012
201201BS70589,1,3,2,1,2012
201201BS70590,1,3,2,1,2012
201201BS70591,1,3,1,1,2012
201201BS70592,1,3,2,1,2012
201201BS70593,1,3,2,1,2012
201201BS70594,1,3,2,1,2012
201201BS70595,1,3,1,2,2012
201201BS70596,1,3,2,1,2012
201201BS70597,1,2,2,1,2012
201201BS70598,1,3,2,1,2012
201201BS70600,1,3,1,1,2012
201201BS70601,1,3,2,1,2012
201201BS70602,1,3,2,1,2012
201201BS70603,1,3,2,1,2012
201201BS70604,1,3,2,1,2012
201201BS70605,1,3,2,1,2012
201201BS70606,1,3,2,2,2012
201201BS70607,1,3,2,1,2012
201201BS70608,1,3,3,1,2012
201201BS70609,1,2,2,1,2012
201201BS70610,1,3,1,1,2012
201201BS70611,1,3,2,1,2012
201201BS70612,1,3,2,1,2012
201201BS70613,1,2,2,1,2012
201201BS70614,1,3,2,1,2012
201201BS70615,1,3,2,1,2012
201201BS70616,1,3,2,2,2012
201201BS70617,1,2,1,1,2012
201201BS70618,1,3,2,1,2012
201201BS70619,1,3,3,2,2012
201201BS70620,1,3,1,1,2012
201201BS70621,1,2,1,1,2012
201201BS70622,1,3,2,1,2012
201201BS70623,1,3,2,1,2012
201201BS70624,1,3,2,1,2012
201201BS70625,1,3,3,1,2012
201201BS70626,1,3,2,1,2012
201201BS70627,1,3,2,3,2012
201201BS70628,1,3,2,1,2012
201201BS70629,1,3,3,1,2012
201201BS70630,1,3,1,1,2012
201201BS70631,1,3,2,2,2012
201201BS70632,1,3,1,1,2012
201201BS70633,1,3,2,1,2012
201201BS70634,1,2,2,1,2012
201201BS70635,1,3,1,1,2012
201201BS70636,1,3,1,2,2012
201201BS70637,1,3,2,1,2012
201201BS70638,1,3,2,1,2012
201201BS70639,1,3,2,1,2012
201201BS70640,1,3,2,1,2012
201201BS70641,1,2,1,1,2012
201201BS70642,1,3,2,1,2012
201201BS70643,1,3,1,1,2012
201201BS70645,1,3,1,1,2012
201201BS70646,1,3,2,3,2012
201201BS70649,1,2,2,1,2012
201201BS70651,1,3,2,1,2012
201201BS70653,1,3,2,1,2012
201201BS70655,1,2,1,1,2012
201201BS70656,1,3,2,2,2012
201201BS70657,1,3,1,1,2012
201201BS70658,1,3,2,1,2012
201201BS70659,1,3,1,1,2012
201201BS70660,1,3,2,1,2012
201201BS70661,1,3,3,2,2012
201201BS70662,1,3,1,1,2012
201201BS70663,1,3,1,2,2012
201201BS70664,1,3,2,1,2012
201201BS70665,1,2,1,1,2012
201201BS70666,1,2,2,1,2012
201201BS70667,1,3,2,1,2012
201201BS70668,1,3,2,1,2012
201201BS70669,1,3,1,1,2012
201201BS70670,1,3,1,1,2012
201201BS70671,1,3,2,1,2012
201201BS70673,1,3,2,1,2012
201201BS70676,1,2,1,1,2012
201201BS70677,1,3,1,1,2012
201201BS70678,1,3,2,2,2012
201201BS70679,1,3,1,1,2012
201201BS79001,1,3,2,1,2012
201201BS79002,1,3,2,1,2012
201201BS79004,1,3,1,1,2012
201201BS79008,1,3,1,1,2012
201201BS79014,1,3,1,1,2012
201201BS79016,1,2,1,1,2012
201201BS79026,1,2,2,1,2012
201201BS79037,1,3,2,1,2012
201201BS79091,1,3,2,2,2012
201201CP00001,48,2,1,1,2012
201201CP00002,48,3,2,1,2012
201201CP00003,48,3,1,1,2012
201201CP00004,48,3,1,1,2012
201201CP00005,48,3,2,2,2012
201201CP00006,48,3,2,1,2012
201201CP00007,48,2,1,2,2012
201201CP00008,48,3,1,1,2012
201201CP00009,48,3,3,2,2012
201201CP00010,48,3,2,1,2012
201201CP00012,48,3,2,1,2012
201201CP00013,48,3,1,1,2012
201201CP00014,1,3,1,1,2012
201201CP00015,48,3,2,3,2012
201201CP00016,48,3,1,1,2012
201201CP00017,48,3,1,1,2012
201201CP00018,48,2,1,1,2012
201201CP00019,48,3,4,2,2012
201201CP00020,48,3,2,1,2012
201201CP00021,48,3,2,1,2012
201201CP00022,48,3,2,2,2012
201201CP00023,48,2,2,2,2012
201201CP00024,48,3,2,1,2012
201201CP00025,48,3,2,1,2012
201201CP00026,48,3,2,1,2012
201201CP00027,48,3,2,1,2012
201201CP00028,48,3,1,1,2012
201201CP00029,48,3,1,1,2012
201201CP00030,1,3,2,1,2012
201201CP00031,48,3,1,1,2012
201201CP00032,48,3,1,1,2012
201201CP00033,48,2,2,1,2012
201201CP00034,48,3,2,1,2012
201201CP00035,48,3,2,1,2012
201201CP00036,48,3,1,1,2012
201201CP00037,48,3,1,1,2012
201201CP00038,48,3,2,1,2012
201201CP00039,48,3,1,1,2012
201201CP00040,48,3,1,2,2012
201201CP00041,48,3,1,1,2012
201201CP00042,48,3,2,1,2012
201201CP00043,48,3,2,1,2012
201201CP00044,48,3,2,1,2012
201201CP00045,48,1,2,1,2012
201201CP00046,48,3,2,1,2012
201201CP00047,48,3,2,1,2012
201201CP00048,48,3,2,1,2012
201201CP00049,48,3,3,2,2012
201201CP00050,48,3,2,1,2012
201201CP00051,48,3,2,1,2012
201201CP00053,1,3,1,1,2012
201201CP00054,48,3,2,1,2012
201201CP00055,48,3,2,1,2012
201201CP00056,48,3,2,2,2012
201201CP00057,48,3,1,1,2012
201201CP00058,48,3,1,2,2012
201201CP00059,48,3,1,1,2012
201201CP00060,48,3,2,1,2012
201201CP00061,1,2,2,1,2012
201201CP00062,48,3,2,1,2012
201201CP00063,48,2,2,1,2012
201201CP00064,48,2,2,1,2012
201201CP00065,48,3,1,1,2012
201201CP00066,48,3,2,1,2012
201201CP00067,48,2,1,3,2012
201201CP00068,48,3,2,2,2012
201201CP00069,48,3,2,1,2012
201201CP00070,48,3,2,1,2012
201201CP00071,48,3,2,1,2012
201201CP00072,48,3,2,1,2012
201201CP00073,48,3,2,1,2012
201201CP00074,48,3,2,1,2012
201201CP00075,48,3,2,1,2012
201201CP00076,48,3,2,2,2012
201201CP00077,48,3,2,1,2012
201201CP00078,48,2,2,1,2012
201201CP00079,48,3,2,1,2012
201201CP00080,48,3,2,1,2012
201201CP00081,48,3,2,1,2012
201201CP00082,48,3,2,1,2012
201201CP00083,48,3,2,1,2012
201201CP00084,48,3,2,2,2012
201201CP00085,48,3,2,1,2012
201201CP00086,1,3,2,1,2012
201201CP00087,48,3,1,1,2012
201201CP00088,48,3,1,1,2012
201201CP00089,48,3,2,1,2012
201201CP00090,48,3,1,1,2012
201201CP00091,48,3,2,1,2012
201201CP00092,48,3,1,1,2012
201201CP00093,48,3,2,1,2012
201201CP00094,48,3,2,1,2012
201201CP00095,48,3,2,1,2012
201201CP00096,48,3,2,1,2012
201201CP00097,48,3,1,1,2012
201201CP00098,48,3,2,1,2012
201201CP00099,48,3,3,1,2012
201201CP00100,48,3,2,1,2012
201201CP00102,48,3,2,1,2012
201201CP00103,48,2,1,1,2012
201201CP00104,48,3,2,1,2012
201201CP00105,48,3,2,1,2012
201201CP00106,1,3,2,2,2012
201201CP00107,48,3,1,1,2012
201201CP00108,48,3,1,2,2012
201201CP00109,48,3,2,1,2012
201201CP00110,48,3,2,1,2012
201201CP00111,48,3,1,1,2012
201201CP00112,48,3,1,1,2012
201201CP00113,48,2,1,1,2012
201201CP00114,48,3,2,1,2012
201201CP00115,48,2,1,1,2012
201201CP00116,48,2,2,1,2012
201201CP00117,48,3,2,1,2012
201201CP00118,48,3,1,1,2012
201201CP00119,48,3,2,1,2012
201201CP00120,48,3,1,1,2012
201201CP00121,48,3,2,1,2012
201201CP00122,48,3,2,1,2012
201201CP00123,48,2,2,1,2012
201201CP00124,48,3,1,1,2012
201201CP00125,48,3,2,1,2012
201201CP00126,48,3,2,1,2012
201201CP00127,48,2,2,3,2012
201201CP00128,48,3,2,1,2012
201201CP00129,48,2,1,1,2012
201201CP00130,48,3,2,1,2012
201201CP00131,48,3,1,1,2012
201201CP00132,48,3,1,1,2012
201201CP00133,48,3,1,1,2012
201201CP00136,48,3,2,1,2012
201201CP00137,48,3,2,1,2012
201201CP00138,48,3,1,1,2012
201201CP00139,48,3,2,1,2012
201201CP00140,48,2,2,1,2012
201201CP00141,48,2,2,1,2012
201201CP00142,48,2,2,1,2012
201201CP00143,48,3,1,1,2012
201201CP00144,48,3,2,1,2012
201201CP00146,48,3,1,1,2012
201201CP00147,48,3,2,1,2012
201201CP00148,48,3,2,1,2012
201201CP00149,48,3,1,1,2012
201201CP00150,48,3,2,1,2012
201201CP00151,48,3,2,1,2012
201201CP00152,48,3,2,1,2012
201201CP00153,48,3,2,1,2012
201201CP00154,48,3,2,1,2012
201201CP00155,48,3,2,1,2012
201201CP00156,48,3,1,2,2012
201201CP00157,48,3,1,1,2012
201201CP00158,48,3,2,1,2012
201201CP00160,48,3,2,1,2012
201201CP00161,48,3,2,2,2012
201201CP00162,48,3,2,1,2012
201201CP00163,48,3,1,2,2012
201201CP00164,48,3,2,1,2012
201201CP00165,1,3,2,1,2012
201201CP00166,48,2,2,1,2012
201201CP00167,48,3,2,1,2012
201201CP00168,48,3,2,1,2012
201201CP00169,48,3,2,1,2012
201201CP00170,48,3,2,1,2012
